Time,Pressure (hPa),Depth (Cm)
2024-05-30 15:54:50.49,1015.08,19.07
2024-05-30 15:54:50.83,1015.04,19.0
2024-05-30 15:54:51.14,1014.93,18.83
2024-05-30 15:54:51.47,1015.02,18.97
2024-05-30 15:54:51.78,1015.06,19.03
2024-05-30 15:54:52.09,1015.15,19.16
2024-05-30 15:54:52.41,1015.04,19.0
2024-05-30 15:54:52.73,1015.01,18.96
2024-05-30 15:54:53.07,1015.04,19.0
2024-05-30 15:54:53.38,1015.05,19.01
2024-05-30 15:57:28.21,1015.1,19.09
2024-05-30 15:57:28.49,1015.03,18.98
2024-05-30 15:57:28.79,1015.09,19.07
2024-05-30 15:57:29.09,1015.05,19.01
2024-05-30 15:57:29.39,1015.2,19.24
2024-05-30 15:57:29.78,1015.07,19.05
2024-05-30 15:57:30.12,1014.99,18.92
2024-05-30 15:57:30.43,1015.09,19.07
2024-05-30 15:57:30.72,1015.1,19.09
2024-05-30 15:57:31.03,1015.09,19.08
2024-05-30 15:57:31.34,1015.07,19.05
2024-05-30 15:57:31.66,1015.15,19.17
2024-05-30 15:57:31.97,1015.07,19.05
2024-05-30 15:57:32.29,1015.07,19.05
2024-05-30 15:57:32.60,1015.09,19.07
2024-05-30 15:57:32.92,1015.01,18.95
2024-05-30 15:57:33.22,1015.11,19.11
2024-05-30 15:57:33.56,1015.04,18.99
2024-05-30 15:57:33.88,1015.03,18.99
2024-05-30 15:57:34.19,1015.07,19.04
2024-05-30 15:57:34.51,1015.15,19.16
2024-05-30 15:57:34.82,1015.06,19.03
2024-05-30 15:59:05.69,1015.06,19.03
2024-05-30 15:59:05.99,1015.09,19.08
2024-05-30 15:59:06.28,1015.03,18.99
2024-05-30 15:59:06.58,1015.06,19.03
2024-05-30 15:59:06.87,1015.11,19.1
2024-05-30 15:59:07.16,1015.09,19.07
2024-05-30 15:59:07.45,1015.06,19.03
2024-05-30 15:59:07.74,1015.06,19.03
2024-05-30 15:59:08.03,1015.01,18.95
2024-05-30 15:59:08.34,1015.01,18.96
2024-05-30 15:59:08.65,1015.02,18.98
2024-05-30 15:59:08.98,1015.06,19.03
2024-05-30 15:59:09.39,1015.04,19.01
2024-05-30 15:59:09.71,1015.11,19.11
2024-05-30 15:59:10.01,1015.1,19.09
2024-05-30 15:59:10.31,1015.06,19.03
2024-05-30 15:59:10.63,1015.07,19.05
2024-05-30 15:59:10.96,1015.07,19.05
2024-05-30 15:59:11.31,1015.11,19.1
2024-05-30 16:00:01.89,1015.07,19.05
2024-05-30 16:00:02.20,1015.24,19.3
2024-05-30 16:00:02.50,1015.13,19.14
2024-05-30 16:00:02.81,1015.16,19.19
2024-05-30 16:00:03.11,1015.11,19.11
2024-05-30 16:00:03.39,1015.24,19.3
2024-05-30 16:00:03.70,1015.14,19.14
2024-05-30 16:00:03.99,1015.2,19.25
2024-05-30 16:00:04.28,1015.09,19.08
2024-05-30 16:00:04.58,1015.15,19.17
2024-05-30 16:00:04.87,1015.15,19.17
2024-05-30 16:00:05.18,1015.19,19.23
2024-05-30 16:00:05.49,1015.16,19.19
2024-05-30 16:00:14.32,1015.11,19.11
2024-05-30 16:00:14.61,1015.21,19.26
2024-05-30 16:00:14.91,1015.18,19.21
2024-05-30 16:00:15.22,1015.22,19.27
2024-05-30 16:00:15.52,1015.1,19.1
2024-05-30 16:00:15.82,1015.31,19.42
2024-05-30 16:00:16.12,1015.07,19.05
2024-05-30 16:00:16.41,1015.28,19.36
2024-05-30 16:00:16.73,1015.12,19.12
2024-05-30 16:00:17.03,1015.18,19.21
2024-05-30 16:00:17.40,1015.14,19.15
2024-05-30 16:00:17.70,1015.19,19.23
2024-05-30 16:00:18.02,1015.22,19.28
2024-05-30 16:00:18.33,1015.2,19.24
2024-05-30 16:00:18.64,1015.15,19.16
2024-05-30 16:00:18.95,1015.18,19.21
2024-05-30 16:00:19.28,1015.12,19.13
2024-05-30 16:00:19.61,1015.16,19.18
2024-05-30 16:00:19.94,1015.22,19.27
2024-05-30 16:00:20.27,1015.21,19.26
2024-05-30 16:00:20.58,1015.14,19.15
